04-16 17:43:28.003   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-16 17:43:49.726   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:43:49.730    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:43:49.734   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f1 reason=0
04-16 17:44:06.593   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:6b:f1 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:44:06.624   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:6b:f1
04-16 17:44:06.624   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:44:06.632   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-16 17:44:06.636   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:44:06.636   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:44:06.652   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:44:06.664    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:44:42.531    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:44:42.535   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:44:42.535   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f1 reason=0
04-16 17:44:43.824   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:84:8d:51 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:44:43.863   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:84:8d:51
04-16 17:44:43.863   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:44:43.871   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
