04-14 14:53:11.361   974 13003 I PhoneLab-PeriodicCheckService: Logger Service is running
04-14 14:53:11.365   974 13003 I PhoneLab-Locks: wake lock acquired
04-14 15:27:19.904  1058  1060 D dalvikvm: GC_CONCURRENT freed 410K, 11% free 10545K/11783K, paused 2ms+3ms
04-14 15:27:25.482   145   147 D dalvikvm: GC_CONCURRENT freed 1192K, 11% free 14306K/15943K, paused 2ms+5ms
04-14 15:27:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:27:27.994   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:27:27.994   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:27:27.994   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:27:27.997   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:29:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:29:27.994   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:29:27.997   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:29:27.997   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:29:27.997   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:30:38.115   270  1101 I EventLogService: Aggregate from 1334430038050 (log), 1334430038050 (data)
04-14 15:31:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:31:28.005   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:31:28.005   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:31:28.005   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:31:28.005   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:31:35.447   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:31:35.466   974   974 I PhoneLab-StatusMonitor: Status Monitoring is started
04-14 15:31:35.517   974   976 D dalvikvm: GC_CONCURRENT freed 602K, 15% free 9266K/10887K, paused 2ms+5ms
