06-22 14:12:16.218 26179 26182 D dalvikvm: GC_CONCURRENT freed 674K, 8% free 9705K/10503K, paused 9ms+3ms
06-22 14:12:16.218 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
06-22 14:12:16.222 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
06-22 14:12:16.222 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:465)
06-22 14:12:16.226 26179 26386 D Bible - E/Misc: 	js.a(SourceFile:124)
06-22 14:12:16.359   280   280 D wpa_supplicant: EAP: EAP entering state METHOD
06-22 14:12:16.359   280   280 D wpa_supplicant: SSL: Received packet(len=260) - Flags 0x00
06-22 14:12:16.359   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.359   280   280 D wpa_supplicant: SSL: SSL_connect:SSLv3 read server hello A
06-22 14:12:16.405   280   280 D wpa_supplicant: TLS: tls_verify_cb - preverify_ok=1 err=19 (self signed certificate in certificate chain) ca_cert_verify=0 depth=2 buf='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
06-22 14:12:16.405   280   280 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=2 subject='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
06-22 14:12:16.405   280   280 D wpa_supplicant: TLS: tls_verify_cb - preverify_ok=1 err=19 (self signed certificate in certificate chain) ca_cert_verify=0 depth=2 buf='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
06-22 14:12:16.405   280   280 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=2 subject='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
06-22 14:12:16.425   280   280 D wpa_supplicant: TLS: tls_verify_cb - preverify_ok=1 err=19 (self signed certificate in certificate chain) ca_cert_verify=0 depth=1 buf='/C=US/ST=UT/L=Salt Lake City/O=The USERTRUST Network/CN=USERTrust Legacy Secure Server CA'
06-22 14:12:16.425   280   280 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=1 subject='/C=US/ST=UT/L=Salt Lake City/O=The USERTRUST Network/CN=USERTrust Legacy Secure Server CA'
06-22 14:12:16.425   280   280 D wpa_supplicant: TLS: tls_verify_cb - preverify_ok=1 err=19 (self signed certificate in certificate chain) ca_cert_verify=0 depth=0 buf='/C=US/postalCode=14260/ST=New York/L=Buffalo/street=305 Computing Center/O=SUNY AT BUFFALO/OU=Issued through UNIVERSITY AT BUFFALO E-PKI Manager/OU=Comodo PremiumSSL Legacy/CN=radius2.cit.buffalo.edu'
06-22 14:12:16.425   280   280 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=0 subject='/C=US/postalCode=14260/ST=New York/L=Buffalo/street=305 Computing Center/O=SUNY AT BUFFALO/OU=Issued through UNIVERSITY AT BUFFALO E-PKI Manager/OU=Comodo PremiumSSL Legacy/CN=radius2.cit.buffalo.edu'
06-22 14:12:16.425   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.425   280   280 D wpa_supplicant: SSL: SSL_connect:SSLv3 read server certificate A
06-22 14:12:16.429   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.429   280   280 D wpa_supplicant: SSL: SSL_connect:SSLv3 read server key exchange A
06-22 14:12:16.429   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.429   280   280 D wpa_supplicant: SSL: SSL_connect:SSLv3 read server done A
06-22 14:12:16.437   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.437   280   280 D wpa_supplicant: SSL: SSL_connect:SSLv3 write client key exchange A
06-22 14:12:16.437   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.437   280   280 D wpa_supplicant: SSL: SSL_connect:SSLv3 write change cipher spec A
06-22 14:12:16.437   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.441   280   280 D wpa_supplicant: SSL: SSL_connect:SSLv3 write finished A
06-22 14:12:16.441   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.441   280   280 D wpa_supplicant: SSL: SSL_connect:SSLv3 flush data
